Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
71;JUHASZ Balazs;HUN;5;7,233;12,133;-0,1;3,7;7,033;10,733;0;4,3;7,533;11,833;0;4,8;8,766;13,566;0;4;7,633;11,633;0;4,1;8,033;12,133;0;72,031
72;CORALIZZI Matias Fabian;ARG;3,9;7,333;11,233;0;3,6;8,8;12,4;0;4;8,666;12,666;0;4;8,9;12,6;-0,3;3,5;9;12,5;0;3,1;7,466;10,566;0;71,965
73;BERNTSEN Kasper;NOR;4,1;8,5;12,3;-0,3;3,2;7,366;10,566;0;3,3;8,533;11,833;0;4;8,966;12,966;0;3;9,066;12,066;0;3,4;8,566;11,966;0;71,697
74;BARDANA Matteo;CAN;4,7;7,833;12,233;-0,3;3,6;6,633;10,233;0;3,6;8,7;12,3;0;4;8,9;12,9;0;3,9;9,066;12,966;0;3,5;7,433;10,933;0;71,565
75;MARCU Norbert;ROU;4,8;6,5;11,3;0;4,1;7,1;11,2;0;3,8;8,4;12,2;0;4;8,9;12,9;0;3,9;8,4;12,3;0;3,1;8,333;11,433;0;71,333
76;le KHAC Tomasz;POL;4,1;8,133;12,133;-0,1;4;8,633;12,633;0;3,1;8,6;11,7;0;2,2;9,266;11,466;0;4,2;6,933;11,133;0;3,5;8,766;12,266;0;71,331
77;VANDEBERG Giel;BEL;3,1;9,2;12;-0,3;4,8;6,8;11,6;0;4,6;8,3;12,9;0;1,6;9;10,6;0;4,7;7,433;12,133;0;3,5;8,4;11,9;0;71,133
78;HOLMGREN Theo;SWE;3,9;7,966;11,866;0;3,6;7,2;10,5;-0,3;3,6;8,9;12,2;-0,3;4;8,1;12,1;0;3,5;9;12,5;0;3,3;8,666;11,966;0;71,132
79;DOLIDZE Dachi;GEO;3,7;8,866;12,266;-0,3;4,9;8,133;13,033;0;2,1;9,233;11,333;0;2;9,2;11,2;0;3,8;8,233;12,033;0;1,8;9,333;11,133;0;70,998
80;TRIFONOV Daniel;BUL;4,7;6,433;11,133;0;3,2;7,2;10,4;0;4;8;12;0;4,8;9,133;13,933;0;4,3;6,466;10,766;0;4,3;8,2;12,5;0;70,732
81;ANTTI Olof;SWE;4,1;8;12;-0,1;3,2;7,033;10,233;0;3,9;8,5;12,4;0;4,8;7,8;12,5;-0,1;3,4;8,233;11,633;0;3,2;8,566;11,766;0;70,532
82;YEMELIANOV Yurii;UKR;4,4;6,066;10,366;-0,1;4,2;6,6;10,8;0;3,9;8,466;12,366;0;4;9;13;0;4,3;8,8;13,1;0;4,3;6,466;10,766;0;70,398
83;TUKIAINEN Alex;FIN;4,1;8,433;12,533;0;3,3;8,466;11,766;0;3,3;7,5;10,5;-0,3;4;8,7;12,7;0;3,2;8,833;12,033;0;2,4;8,333;10,733;0;70,265
84;AL-KHALIDI Zaid;JOR;4,4;6,666;11,066;0;3,6;7,2;10,8;0;3,9;8,566;12,466;0;4;8,8;12,7;-0,1;3,7;8,466;12,166;0;3;7,966;10,966;0;70,164
85;PUICEA David;ROU;4,3;5,4;9,7;0;4,5;7,233;11,733;0;3,9;8,666;12,566;0;4;8,466;12,166;-0,3;4,5;8,566;13,066;0;4,3;6,533;10,833;0;70,064
86;SOTO RODRIGUEZ JJ;PUR;4,1;7,8;11,9;0;3;7,666;10,666;0;3,6;7,4;10,7;-0,3;4;8,966;12,966;0;3,7;8,133;11,833;0;3,7;8,2;11,9;0;69,965
87;SAVVA Neofytos;CYP;3,9;7,566;11,166;-0,3;3,6;7,233;10,833;0;3,9;9,066;12,966;0;3,2;8,733;11,933;0;3,9;8,5;12,4;0;3,3;7,233;10,533;0;69,831
88;TEMIRBEK Altynkhan;KAZ;4,7;7,866;12,466;-0,1;3,3;7,2;10,5;0;3,4;7,666;10,766;-0,3;4,8;9,2;14;0;3,9;7;10,9;0;3,5;7,6;11,1;0;69,732
89;LOH Jovi;SGP;4,6;8,3;12,9;0;3,7;6,633;10,333;0;2,6;6,333;8,633;-0,3;4;8,933;12,933;0;4,4;8,8;13,2;0;3,5;8,2;11,7;0;69,699
90;PERALTA Carlos;NCA;3,7;8,466;12,166;0;3,3;7,133;10,433;0;3,5;8,466;11,966;0;4;8,966;12,966;0;3,3;9,133;12,433;0;3,5;5,433;8,933;0;68,897
91;SAMSON Sebastian;SVK;4,4;7,5;11,8;-0,1;2,9;7,766;10,666;0;3,9;7,933;11,833;0;3,2;8,9;12;-0,1;2,3;9,1;11,4;0;2,7;8,4;11,1;0;68,799
92;KAYSER Mathis;LUX;4,3;7,133;11,433;0;3,1;7,4;10,5;0;3;8,733;11,433;-0,3;4,8;7,566;12,266;-0,1;3,6;8,7;12,3;0;2,8;7,766;10,566;0;68,498
93;TOURNICOURT Victor;BEL;4,7;7,066;11,766;0;4,7;6,5;11,2;0;2,8;8,6;11,1;-0,3;4;8,833;12,533;-0,3;3,9;7,633;11,533;0;2;8,3;10,3;0;68,432
94;SILVA Guilherme;BRA;4,4;5,733;10,033;-0,1;3,2;6,366;9,566;0;3,9;8,033;11,933;0;4;9;13;0;4;8,4;12,4;0;2,7;8,466;11,166;0;68,098
95;GRIKINIS Nedas;LTU;3,9;7,933;11,033;-0,8;3,6;5,5;9,1;0;4,2;8,433;12,633;0;4;8,8;12,8;0;3,8;7,633;11,433;0;3,9;7,1;11;0;67,999
96;CHESTER Kadin;RSA;4,4;7,9;12,2;-0,1;4,3;5,9;10,2;0;2,4;8,266;10,366;-0,3;4;8,933;12,933;0;3,3;8,7;12;0;2,1;8,133;10,233;0;67,932
97;LI Hong-Wen;TPE;4,1;6,866;10,966;0;2,5;7,2;9,7;0;3,9;8,666;12,566;0;2,4;9,033;11,433;0;4,1;8,1;12,2;0;3,4;7,6;11;0;67,865
98;McLEAN Daniel;RSA;4,4;8,1;12,5;0;2,7;6;8,7;0;3,4;6,966;10,366;0;4;8,833;12,833;0;3,7;8,766;12,466;0;3,5;7,066;10,566;0;67,431
99;SHKURATSKYI Rodion;UKR;4,3;7;11;-0,3;3,4;5,966;9,366;0;4,3;6,266;10,566;0;4;8,733;12,633;-0,1;4,6;8,333;12,933;0;3,3;7,333;10,633;0;67,131
100;MURENAS Martynas;LTU;4;8,2;12,1;-0,1;4,2;5,7;9,9;0;3,5;8,333;11,833;0;2,4;7,666;9,966;-0,1;3,6;8,466;12,066;0;3,3;7,866;11,166;0;67,031
101;HSIAO Yu-Lun;TPE;2,9;9,1;11,7;-0,3;3,8;7,833;11,633;0;2,4;8,4;10,5;-0,3;2,4;8,766;11,166;0;3;7,7;10,7;0;2,7;8;10,7;0;66,399
102;JEMCEVS Deniss;LAT;4,2;7,533;11,633;-0,1;3;6,633;9,633;0;2,5;8,066;10,566;0;4;8,633;12,333;-0,3;3,3;8,433;11,733;0;2,8;7,133;9,933;0;65,831
103;ZILKO Reinis;LAT;3,2;8,1;11;-0,3;4;6,166;10,166;0;2,4;8,533;10,933;0;2,4;8,866;11,266;0;3;9,066;12,066;0;2,7;7,7;10,4;0;65,831
