Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
78;SUPRUN Bohdan;UKR;5,5;7,5;12,9;-0,1;5,3;4,933;10,233;0;5,6;6,8;12,4;0;5,2;7,7;12,9;0;4,4;7,8;12,2;0;3,6;7,3;10,9;0;71,533
79;CHASAZYROVAS Gytis;LTU;5,6;6,533;11,733;-0,4;4,1;4,933;9,033;0;4,4;7,833;12,233;0;5,2;8,533;13,633;-0,1;4,9;7,533;12,433;0;3,9;8,3;12,2;0;71,265
80;KANELLOS Apostolos;GRE;4,7;7,766;12,366;-0,1;5,4;7;12,4;0;4,3;6,2;10,5;0;4;8,666;12,666;0;4,1;7,6;11,7;0;4,2;6,9;11,1;0;70,732
81;PENA Leandro;DOM;5,1;7,166;12,266;0;3,2;6,033;9,233;0;5,6;6;11,6;0;5,2;8,433;13,533;-0,1;5,1;7,466;12,566;0;4,7;6,7;11,4;0;70,598
82;CHARI Michalis;CYP;5,6;7,2;12,8;0;4;5,433;9,433;0;4,6;7,2;11,8;0;4,8;7,733;12,233;-0,3;4,2;8,266;12,466;0;3,7;8,066;11,766;0;70,498
83;CAMPOS Guilherme;POR;5,4;7,633;13,033;0;2,8;5,6;5,4;-3;4,2;8,433;12,633;0;5,2;9,033;14,233;0;3,8;8,8;12,6;0;4,1;7,733;11,833;0;69,732
84;PLATE Ricards;LAT;5;7,533;12,533;0;4,2;4,466;8,666;0;4,2;7,066;11,266;0;4;8,966;12,966;0;4,3;7,366;11,666;0;4,4;6,9;11,3;0;68,397
85;WHITTENBURG Donnell;USA;6,4;7,733;14,133;0;5;7,833;12,833;0;6;8,333;14,333;0;0;0;0;0;5,8;7,866;13,666;0;5,3;6,6;11,9;0;66,865
86;AKHMEJANOV Emil;KAZ;5,7;5,4;10,6;-0,5;3,4;4,133;4,533;-3;3,8;7,966;11,766;0;5,2;8;13,1;-0,1;4,7;8,3;13;0;4,8;6,866;11,666;0;64,665
87;ABDELRAHMAN Ahmed;EGY;5,4;7,433;11,933;-0,9;4,9;8,266;13,166;0;0;0;;0;5,2;8,766;13,966;0;5,2;7,8;13;0;4,4;8,566;12,966;0;0
88;FU-ALLEN William;NZL;5,1;6,533;11,633;0;3,6;6,3;9,9;0;0;0;;0;4,8;8,766;13,566;0;3;8,066;11,066;0;0;0;;0;0
89;LIN Guan-Yi;TPE;4,9;5,466;10,366;0;4,6;8,4;13;0;5,9;7,933;13,833;0;5,2;9;14,2;0;0;0;;0;0;0;;0;0
90;Mc ATEER Ewan;IRL;;0;0;0;;0;0;0;0;0;;0;5,2;8,766;13,966;0;0;0;;0;0;0;;0;0
91;METIDJI Hillal;ALG;;;0;;4,9;7,8;12,7;0;0;0;;0;;0;0;0;5,1;8,033;13,133;0;0;0;;0;0
92;MIR Nicolau;ESP;5,9;;12,7;;4,4;6,1;10,2;-0,3;0;0;;0;5,2;8,966;14,066;-0,1;5,9;8,866;14,766;0;4,9;8,266;13,166;0;0
93;NUNEZ Isaac;MEX;;;0;;;0;0;0;0;0;;0;4,8;8,9;13,7;0;5,8;7,766;13,566;0;3,9;6,166;10,066;0;0
94;SUN Wei;CHN;5,7;;12,2;;6,4;6,566;12,966;0;0;0;;0;5,6;8,1;13,4;-0,3;0;0;;0;6,4;8,433;14,833;0;0
95;YEH Cheng;TPE;5,4;;13,333;;5,3;7;12,3;0;0;0;;0;5,2;9,1;14,3;0;4,6;8,333;12,933;0;4,8;7,5;12,3;0;0
96;YOU Hao;CHN;;;0;;5,8;7,833;13,633;0;6,5;8,133;14,633;0;;0;0;0;6,4;6,3;12,7;0;5,3;7,933;13,233;0;0
